date,MSDEWIN Index,macd_12_26
2002-02-18,116.522,-0.9419807692307529
2002-02-19,113.945,-1.232737179487188
2002-02-20,114.741,-1.229025641025629
2002-02-21,114.424,-1.1637371794871854
2002-02-22,114.034,-0.9976474358974343
2002-02-25,116.217,-0.7893525641025718
2002-02-26,116.643,-0.6349679487179287
2002-02-27,117.922,-0.5233269230769224
2002-02-28,117.71,-0.4068076923076944
2002-03-01,119.821,-0.2586089743589639
2002-03-04,122.278,0.0019230769230631495
2002-03-05,121.649,0.38475641025641494
2002-03-06,122.258,0.6824102564102361
2002-03-07,122.145,1.192243589743569
2002-03-08,123.199,1.7478846153846064
2002-03-11,123.411,2.315185897435896
2002-03-12,122.87,2.78721153846152
2002-03-13,121.647,2.974250000000012
2002-03-14,121.106,3.070858974358984
2002-03-15,122.19,3.1172564102564024
2002-03-18,122.35,3.2195769230769145
2002-03-19,122.79,3.199070512820512
2002-03-20,121.04,2.8968653846153956
2002-03-21,121.227,2.708814102564105
2002-03-22,121.154,2.4902371794871954
2002-03-25,120.023,2.174326923076947
2002-03-26,120.428,1.7931794871795006
2002-03-27,121.36,1.3370705128205032
2002-03-28,122.086,0.9892371794871622
2002-04-02,120.156,0.6445256410256377
2002-04-03,119.681,0.308583333333317
2002-04-04,119.275,-0.05194871794869016
2002-04-05,119.409,-0.4034166666666721
2002-04-08,119.421,-0.7418205128205244
2002-04-09,118.706,-0.9746282051281838
2002-04-10,119.574,-1.1028782051282064
2002-04-11,116.763,-1.2566794871794684
2002-04-12,117.595,-1.303089743589723
2002-04-15,117.369,-1.3699679487179424
2002-04-16,119.505,-1.4230128205128239
2002-04-17,119.174,-1.5108717948717754
2002-04-18,118.673,-1.4522243589743624
2002-04-19,118.882,-1.3654230769230935
2002-04-22,117.731,-1.343474358974376
2002-04-23,117.09,-1.382262820512807
2002-04-24,116.265,-1.4173782051282018
2002-04-25,115.353,-1.4276794871794891
2002-04-26,114.18,-1.5460256410256221
2002-04-29,113.102,-1.5458012820513005
2002-04-30,113.961,-1.5691730769230787
2002-05-02,114.266,-1.5628333333333302
2002-05-03,112.539,-1.8554871794871701
2002-05-06,110.868,-2.179961538461555
2002-05-07,110.408,-2.4474807692307508
2002-05-08,113.982,-2.544121794871785
2002-05-09,113.007,-2.6628269230769064
2002-05-10,111.225,-2.82634615384616
2002-05-13,112.755,-2.8680769230769414
2002-05-14,115.291,-2.7148589743589753
2002-05-15,114.973,-2.477698717948712
2002-05-16,115.248,-2.1658653846153726
2002-05-17,114.729,-1.9155192307692488
2002-05-20,113.729,-1.843576923076938
2002-05-21,113.299,-1.6150128205128311
2002-05-22,112.546,-1.2896794871795123
2002-05-23,113.711,-0.7915833333333353
2002-05-24,112.875,-0.6415641025641179
2002-05-27,113.112,-0.4189294871794971
2002-05-28,111.49,-0.11253846153844904
2002-05-29,110.641,-0.016012820512827375
2002-05-30,109.614,-0.20155769230768783
2002-05-31,110.101,-0.3704807692307668
2002-06-03,108.084,-0.68790384615383
2002-06-04,106.881,-1.0611730769230832
2002-06-05,107.605,-1.3600833333333213
2002-06-06,105.63,-1.6787435897435756
2002-06-07,104.974,-1.9523589743589582
2002-06-10,105.211,-2.3788461538461547
2002-06-11,104.539,-2.8300897435897383
2002-06-12,103.907,-3.3471346153846326
2002-06-13,102.862,-3.6384423076923014
2002-06-14,101.569,-3.9545192307692076
2002-06-17,104.363,-4.12817948717948
2002-06-18,104.032,-4.298429487179504
2002-06-19,101.735,-4.3061282051282035
2002-06-20,99.73,-4.3157756410256525
2002-06-21,98.222,-4.442846153846162
2002-06-24,97.181,-4.4720064102564265
2002-06-25,97.428,-4.473878205128216
2002-06-26,95.065,-4.618070512820523
2002-06-27,96.906,-4.652615384615373
2002-06-28,97.816,-4.54885256410256
2002-07-01,96.672,-4.441493589743587
2002-07-02,94.729,-4.304455128205134
2002-07-03,94.773,-4.46066025641025
2002-07-04,95.335,-4.596717948717938
2002-07-05,98.965,-4.417974358974362
2002-07-08,97.266,-4.129653846153829
2002-07-09,95.355,-3.878993589743601
2002-07-10,92.968,-3.694961538461527
2002-07-11,92.053,-3.544724358974335
2002-07-12,91.865,-3.2819679487179627
2002-07-15,89.027,-3.325205128205127
2002-07-16,87.712,-3.494166666666686
2002-07-17,89.062,-3.5330641025641114
2002-07-18,88.21,-3.4725833333333185
2002-07-19,84.597,-3.6180833333333453
2002-07-22,82.17,-3.9690512820512964
2002-07-23,81.22,-4.557685897435903
2002-07-24,83.215,-4.927948717948695
2002-07-25,83.151,-5.230179487179484
2002-07-26,84.618,-5.344782051282067
2002-07-29,89.428,-5.225301282051262
2002-07-30,89.203,-5.1402884615384465
2002-07-31,90.22,-4.763641025641036
2002-08-01,87.409,-4.494429487179474
2002-08-02,86.044,-4.328160256410271
2002-08-05,83.474,-4.1712115384615345
2002-08-06,86.948,-3.6012948717948916
2002-08-07,87.608,-2.8742435897435854
2002-08-08,90.341,-1.9436987179487204
2002-08-09,90.882,-1.13351282051282
2002-08-12,89.573,-0.23711538461539305
2002-08-13,88.694,0.43224358974359234
2002-08-14,89.622,0.6689102564102711
2002-08-15,91.551,0.9190769230769291
2002-08-16,91.315,1.0387115384615413
2002-08-19,93.599,1.4878525641025533
2002-08-20,92.497,1.8921410256410383
2002-08-21,93.145,2.4890961538461625
2002-08-22,95.111,2.9366923076923115
2002-08-23,93.472,3.222974358974355
2002-08-26,93.847,3.1593717948718023
2002-08-27,92.998,2.9192435897436013
2002-08-28,90.776,2.651955128205117
2002-08-29,90.011,2.500320512820494
2002-08-30,90.347,2.2839679487179723
2002-09-02,89.581,1.9289166666666802
2002-09-03,85.405,1.591147435897426
2002-09-04,86.322,1.0955384615384531
2002-09-05,85.635,0.700051282051291
2002-09-06,87.544,0.2281089743589746
2002-09-09,88.047,-0.43759615384615813
2002-09-10,89.554,-0.9979423076923126
2002-09-11,90.228,-1.4256794871794938
2002-09-12,87.747,-1.8686089743589775
2002-09-13,87.058,-2.052173076923083
2002-09-16,87.436,-2.1342179487179607
2002-09-17,86.595,-2.332346153846146
2002-09-18,84.911,-2.5760128205128154
2002-09-19,82.813,-2.530128205128193
2002-09-20,82.582,-2.4968333333333277
2002-09-23,81.065,-2.483435897435882
2002-09-24,79.983,-2.5898269230769273
2002-09-25,81.485,-2.713121794871782
2002-09-26,83.692,-2.838044871794878
2002-09-27,82.343,-3.004051282051293
2002-09-30,79.785,-3.1411282051281972
2002-10-01,81.979,-3.107916666666654
2002-10-02,81.394,-3.165108974358972
2002-10-03,80.278,-3.2877564102563923
